sample_id,kind,part,part_name,item_no,duration_seconds,needs_verification,meaning_en,transcription,original_file,note
shanghainese-001,sentence,1,Basic Shanghainese vocabulary,1,4.779,False,Are you free tomorrow?,侬明朝有辰光伐？,1.m4a,
shanghainese-002,sentence,1,Basic Shanghainese vocabulary,2,4.864,False,We will go to Hangzhou together next week.,阿拉下个礼拜一道去杭州。,2.m4a,
shanghainese-003,sentence,1,Basic Shanghainese vocabulary,3,2.816,False,He or she is not coming today.,伊今朝勿来。,3.m4a,
shanghainese-004,sentence,1,Basic Shanghainese vocabulary,4,3.925,False,I have already eaten today.,我今朝已经吃过了。,4.m4a,
shanghainese-005,sentence,1,Basic Shanghainese vocabulary,5,4.267,False,Please deliver it tomorrow afternoon.,明朝下半日送过来。,5.m4a,
shanghainese-006,sentence,1,Basic Shanghainese vocabulary,6,4.608,False,Please call me at seven o'clock this evening.,夜到七点钟打电话拨我。,6.m4a,
shanghainese-007,sentence,1,Basic Shanghainese vocabulary,7,3.499,False,What time is it now?,现在啥辰光？,7.m4a,
shanghainese-008,sentence,1,Basic Shanghainese vocabulary,8,3.755,False,How should I do this?,格个哪能弄？,8.m4a,
shanghainese-009,sentence,1,Basic Shanghainese vocabulary,9,4.267,False,What do you want to buy?,侬要买啥物事？,9.m4a,
shanghainese-010,sentence,1,Basic Shanghainese vocabulary,10,3.584,False,This is not mine.,格个勿是我个。,10.m4a,
shanghainese-011,sentence,2,Negation and opposite meanings,11,3.669,False,Do not add sugar.,勿要加糖。,11.m4a,
shanghainese-012,sentence,2,Negation and opposite meanings,12,3.84,False,I want a non-spicy one.,我要勿辣个。,12.m4a,
shanghainese-013,sentence,2,Negation and opposite meanings,13,3.584,False,I have never eaten it before.,我勿曾吃过。,13.m4a,
shanghainese-014,sentence,2,Negation and opposite meanings,14,2.987,True,There is nobody at home.,屋里呒没人。,14.m4a,Recorder was allowed to replace this double-negative-style expression with the most natural Shanghainese sentence meaning 'There is nobody at home.'
shanghainese-015,sentence,2,Negation and opposite meanings,15,3.243,False,Do not touch this.,格个勿好碰。,15.m4a,
shanghainese-016,sentence,2,Negation and opposite meanings,16,4.011,False,Do not take this medicine anymore.,格个药勿要再吃了。,16.m4a,
shanghainese-017,sentence,2,Negation and opposite meanings,17,5.12,False,Send the document to me. Do not send it to him or her.,文件发拨我，勿要发拨伊。,17.m4a,
shanghainese-018,sentence,2,Negation and opposite meanings,18,5.035,False,Do not add sugar or milk.,糖勿要加，牛奶也勿要加。,18.m4a,
shanghainese-019,sentence,3,Actions and states,19,3.243,False,It is raining outside.,外头落雨了。,19.m4a,
shanghainese-020,sentence,3,Actions and states,20,3.243,False,I am washing clothes.,我勒浪汏衣裳。,20.m4a,
shanghainese-021,sentence,3,Actions and states,21,4.608,True,The child was hit or severely scolded by them yesterday.,小囡昨日拨伊拉吃生活了。,21.m4a,Recorder asked to use this sentence only if '吃生活' naturally has this meaning in their Shanghainese.
shanghainese-022,sentence,3,Actions and states,22,4.608,False,It is very difficult for me to climb the stairs.,我爬楼梯老吃力个。,22.m4a,
shanghainese-023,sentence,3,Actions and states,23,3.755,False,This dish is very delicious.,格个菜老好吃个。,23.m4a,
shanghainese-024,sentence,3,Actions and states,24,4.437,False,He or she may not come today.,伊今朝作兴勿来了。,24.m4a,
shanghainese-025,sentence,3,Actions and states,25,3.243,False,Wait for a little while before leaving.,等一歇歇再走。,25.m4a,
shanghainese-026,sentence,3,Actions and states,26,3.243,False,I will arrive a little late.,我迟眼到。,26.m4a,
shanghainese-027,sentence,4,"Time, schedules, and numbers",27,3.499,False,I will go next Monday.,下个礼拜一去。,27.m4a,
shanghainese-028,sentence,4,"Time, schedules, and numbers",28,4.096,False,We will have a meeting at two o'clock in the afternoon.,下半日两点钟开会。,28.m4a,
shanghainese-029,sentence,4,"Time, schedules, and numbers",29,6.059,False,Pick up the child at three o'clock in the afternoon. Do not forget.,下半日三点去接小囡，勿要忘记。,29.m4a,
shanghainese-030,sentence,4,"Time, schedules, and numbers",30,7.168,True,"Call me at seven o'clock this evening, not seven o'clock tomorrow morning.",夜到七点钟打拨我，勿是明朝朝晨七点钟。,30.m4a,Recorder allowed to adjust the expression for 'tomorrow morning' if another expression is more natural in Shanghainese.
shanghainese-031,sentence,4,"Time, schedules, and numbers",31,6.315,False,"I will come tomorrow afternoon, not tomorrow morning.",我明朝下半日来，勿是明朝朝晨来。,31.m4a,
shanghainese-032,sentence,4,"Time, schedules, and numbers",32,3.499,True,Please wait for me for ten minutes.,请等我十分钟。,32.m4a,Recorder asked to pronounce this naturally in Shanghainese even though the written characters are similar to Mandarin.
shanghainese-033,sentence,4,"Time, schedules, and numbers",33,4.523,False,"I want three, not thirteen.",我要三个，勿是十三个。,33.m4a,
shanghainese-034,sentence,4,"Time, schedules, and numbers",34,5.461,False,"Come at four o'clock, not ten o'clock.",四点钟来，勿是十点钟来。,34.m4a,
shanghainese-035,sentence,5,Questions whose meaning could be misunderstood,35,3.328,False,Have you eaten?,侬吃过饭了伐？,35.m4a,
shanghainese-036,sentence,5,Questions whose meaning could be misunderstood,36,4.267,False,How did you get here?,侬哪能到个？,36.m4a,
shanghainese-037,sentence,5,Questions whose meaning could be misunderstood,37,4.096,False,Why are you not going?,侬哪能勿去？,37.m4a,
shanghainese-038,sentence,5,Questions whose meaning could be misunderstood,38,4.523,True,Do you want tea or coffee?,侬要茶还是咖啡？,38.m4a,Recorder allowed to use the natural Shanghainese equivalent of 'or' if '还是' sounds too Mandarin-like.
shanghainese-039,sentence,5,Questions whose meaning could be misunderstood,39,6.827,False,"If this is not yours, whose is it?",格个勿是侬个，咁是啥人个？,39.m4a,
shanghainese-040,sentence,5,Questions whose meaning could be misunderstood,40,4.949,False,Do you understand what I am saying?,我讲个闲话侬听得懂伐？,40.m4a,
shanghainese-041,sentence,6,Medical and safety-related sentences,41,5.547,False,"My chest does not hurt, but it feels a little tight.",我胸口勿痛，只有点闷。,41.m4a,
shanghainese-042,sentence,6,Medical and safety-related sentences,42,3.584,False,I have not taken the medicine yet.,药我还勿曾吃。,42.m4a,
shanghainese-043,sentence,6,Medical and safety-related sentences,43,6.485,True,"I cannot eat shrimp. If I eat it, I develop a rash.",我勿好吃虾，吃了身浪向要发出来个。,43.m4a,Recorder allowed to replace this with a more natural Shanghainese expression for an allergic rash if necessary.
shanghainese-044,sentence,6,Medical and safety-related sentences,44,4.693,True,The elderly person fell down yesterday.,老人家昨日跤脱了。,44.m4a,Recorder asked to correct this sentence if another verb is more natural for 'fell down'.
shanghainese-045,sentence,6,Medical and safety-related sentences,45,4.181,False,Turn off the gas before leaving home.,出门以前要拿煤气关脱。,45.m4a,
shanghainese-046,sentence,6,Medical and safety-related sentences,46,4.864,False,A child is alone at home.,小囡一个人勒浪屋里。,46.m4a,
shanghainese-047,sentence,6,Medical and safety-related sentences,47,5.376,False,"The child was frightened, but was not injured.",小囡吓着了，不过呒没受伤。,47.m4a,
shanghainese-048,sentence,6,Medical and safety-related sentences,48,6.229,False,"I do not have chest pain, but I have difficulty breathing.",我胸口勿痛，不过呼吸有点吃力。,48.m4a,
shanghainese-049,sentence,6,Medical and safety-related sentences,49,6.4,False,"I have already taken the medicine, so I should not take another dose.",药我已经吃过了，勿好再吃一趟。,49.m4a,
shanghainese-050,sentence,6,Medical and safety-related sentences,50,6.059,True,"It is not an emergency, but I would like to see a doctor today.",勿是紧急情况，不过我今朝想去看医生。,50.m4a,Recorder allowed to replace '紧急情况' with a more natural Shanghainese expression if necessary.
shanghainese-conv-1,conversation,7,Multi-turn conversation recordings,1,14.507,False,Conversation: Confirming a schedule,侬明朝有辰光伐？ 有个。啥辰光？ 下半日两点钟。 好个，明朝下半日两点钟见。,Conversation 1.m4a,
shanghainese-conv-2,conversation,7,Multi-turn conversation recordings,2,14.336,False,Conversation: Coffee order with negation,帮我买杯咖啡，勿要加糖。 好个。牛奶要伐？ 牛奶也勿要。 晓得了，糖搭牛奶侪勿加。,conversation 2.m4a,
shanghainese-conv-3,conversation,7,Multi-turn conversation recordings,3,15.36,False,Conversation: Uncertain person reference,小王搭小李一道来了。伊讲伊明朝勿来。 侬讲个“伊”是小王还是小李？ 是小李。 好个，我晓得了。,conversation 3.m4a,
shanghainese-conv-4,conversation,7,Multi-turn conversation recordings,4,16.128,False,Conversation: Possibility rather than certainty,伊明朝作兴勿来。 还勿确定是伐？ 对个，要到夜到再晓得。 好个，确定了以后告诉我。,conversation 4.m4a,
shanghainese-conv-5,conversation,7,Multi-turn conversation recordings,5,24.576,False,Conversation: Child safety,小囡一个人勒浪屋里。 小囡几岁？现在安全伐？有大人可以过去伐？ 伊六岁，伊外婆马上过去。 好个，最好叫大人快点过去。,conversation 5.m4a,
shanghainese-conv-6,conversation,7,Multi-turn conversation recordings,6,16.896,False,Conversation: Medicine status,药我还勿曾吃。 医生叫侬啥辰光吃？ 夜到八点钟吃。 好个，现在先勿要吃，夜到八点钟再吃。,conversation 6.m4a,
shanghainese-conv-7,conversation,7,Multi-turn conversation recordings,7,14.421,False,Conversation: Correcting a misunderstood time,我明朝下半日来。 侬是明朝朝晨来，对伐？ 勿是朝晨，是下半日。 晓得了，明朝下半日来。,conversation 7.m4a,
shanghainese-conv-8,conversation,7,Multi-turn conversation recordings,8,12.971,False,Conversation: Correcting a misunderstood food order,我要勿辣个。 侬要辣一点个，对伐？ 勿是，我一点也勿要辣。 好个，完全勿辣。,conversation 8.m4a,
